"","q","k","s","r","bm","r1","r2","n2"
"(Intercept)",4.57701906615536,-0.00725205979230474,0.343221246808376,0.0777039951818063,"albumin",0.00588991308206016,0.0211294022725628,0.000446451640395782
"(Intercept)1",76.0370610051603,0.222890702708084,25.4920460319492,0.014212484077907,"alp",0.00104237084323792,0.00874353915840002,7.64494770144745e-05
"(Intercept)2",0.154975131950624,0.00278167930826364,0.219075987344287,0.02951130725294,"lncrp",0.00218125533331254,0.0126973263568686,0.00016122209661283
"(Intercept)3",190.32578886088,0.384942117037739,40.8512358020139,0.0165064838875547,"totchol",0.00121064696483235,0.00942302257154144,8.87933543837795e-05
"(Intercept)4",0.587415694391165,0.00158010134467534,0.0977158819445765,0.0470147839080878,"lncreat",0.00350620260985319,0.0161703636423356,0.000261480660325368
"(Intercept)5",4.73151110586175,0.0173294229229017,0.921029999042551,0.0629310125320417,"hba1c",0.00472000745472836,0.0188152643680622,0.000354014173240071
"(Intercept)6",101.089652036507,0.557382604407104,15.8777254562671,0.188770774251668,"sbp",0.0152522003280745,0.0351046883851427,0.00123233914661797
"(Intercept)7",10.1076356050907,0.101132959509214,4.82743954664229,0.076378660817348,"bun",0.00578977774075429,0.0209496066252257,0.000438886017751703
"(Intercept)8",5.94296521797344,0.00266483302551335,1.37239217941718,0.000710776301264815,"uap",5.17676245379011e-05,0.00194174308589039,3.77036621160313e-06
"(Intercept)9",37.550956973137,-0.0936013721882547,8.603902481373,0.0218990507654598,"lymph",0.0016099017828561,0.0108789438735384,0.000118351419803599
"(Intercept)10",87.722063573765,0.047325417507085,5.2219420657507,0.0153018330219497,"mcv",0.00112107362178224,0.00906280018261397,8.21343471499877e-05
"(Intercept)11",7.05966865710989,0.00175159233871174,2.11201120100748,0.00013011074306124,"wbc",9.46004927174014e-06,0.000829348034648769,6.87818162575776e-07
